message_number,date,city,visa_center,history,history_country,raw_history,limit,raw_limit
105,09 авг 2022,104 NaN,104 NaN,Нет,Другие страны,104 NaN,Меньше полугода,104 NaN
106,09 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,"08 - забрала паспорт сегодня 09.08 4. Чехия под даты, испанская годовая, годовая немецкая и двухлетняя немецкая, полученная перед локдауном (никуда по ней не ездила)",Год и больше,"Просила на 4 года, дали на 3"
107,09 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,"08 - забрал паспорт сегодня 09.084. Немецкая на 3 года, ранее немецкие по 1 году.",Год и больше,"Просил на 3 года, дали на 3, дочери просил на 5 лет, дали на 3. Мужу дочери на даты поездки т.к. первый шенген."
108,09 авг 2022,Екатеринбург,Визаметрик,Полугодовые,Германия в истории,Полгода,Полгода,"Просили год. У меня 2 немецкие короткие, 1 итальянская тоже короткая, месяц. У мужа итальянская месяц."
109,10 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,"Венгрия год, Бельгия полгода",Год и больше,"5 лет, как и просила"
110,10 авг 2022,СПб,Визаметрик,Годовые и больше,Германия в истории,"Финские 2-3 по 2 года, но раз 4-5 ездили в Германию",Год и больше,2 года
111,11 авг 2022,110 NaN,110 NaN,Даты поездки,Другие страны,Был шенген под даты поездки Норвегии+более древние.всего виз 5,Год и больше,Год
112,12 авг 2022,Екатеринбург,Визаметрик,Даты поездки,Другие страны,"2013 г. Чехия (под даты поездки), 2015 г. Великобритания (тогда еще член Евросоюза), 2017 г. Венгрия (под даты поездки)",Меньше полугода,3 месяца
113,12 авг 2022,Калининград,Визаметрик,Годовые и больше,Другие страны,"2019 Испания 1 год, 2020 Испания 2 года (не открытые по объективным причинам)",Меньше полугода,"1,5 месяца (до 01 октября 2022) - первый раз за все время дали на такой срок , полный ахтунг!"
114,12 авг 2022,113 NaN,113 NaN,Нет,Другие страны,113 NaN,Меньше полугода,113 NaN
115,15 авг 2022,Екатеринбург,Визаметрик,Меньше полугода,Другие страны,Чехия на месяц в марте 2020 неиспользованная,Меньше полугода,45 дней
116,15 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,"2018 Испания 1 год, 2019 Германия 1 год, 2022 Греция под даты поездки (корона) все визы откатаны",Год и больше,2 года
117,15 авг 2022,Москва,ВЦ,Нет,Нет,"08, смс пришла 9.08 утром4.Шенгена у обеих никогда не было, как и выездов за рубеж",Полгода,"Тёте под даты поездки, на 17 дней, бабушке на полгода, просила обеим на год"
118,16 авг 2022,Москва,ВЦ,Годовые и больше,Другие страны,"У мамы было 2 голландских визы на 5 и 3 года, последняя истекла в июне (ездила ко мне в голландию постоянно по приглашениям, сейчас голл визы не дают, поэтому пошли к немцам)",Год и больше,"Дали на 3 года, просили  на 2."
119,16 авг 2022,Москва,ВЦ Visametric на Киевской,Годовые и больше,Другие страны,"Посдений Шенген - Греция на 1 год, до того Франция на два года",Год и больше,"08 во второй половине дня, 1"
120,16 авг 2022,Екатеринбург,Визаметрик,Годовые и больше,Другие страны,0,Даты поездки,"Даты поездки, 15"
121,16 авг 2022,Москва,Визаметрик на Киевской,Даты поездки,Другие страны,"греческая виза на 19 дней (получила в январе 2022), также был отказ от немцев в 2019 году",Год и больше,на год
122,17 авг 2022,Москва,ВЦ Visametric на Киевской,Даты поездки,Другие страны,Посдений Шенген - Австрия на даты поездки (паспорт до 20/11/2023),Полгода,полгода (мульти)
123,18 авг 2022,Екатеринбург,Визаметрик,Годовые и больше,Другие страны,"Последний Шенген 1 год Испанский, была по нему в Италии, в Испанию не успела из-за короны, прикладывала оплаченные сгоревшие билеты в Барселону как подтверждение намерения посетить Испанию. Перед этим полугодовой греческий, по правилам откатанный.",Даты поездки,"Даты поездки, 15 дней"
124,19 авг 2022,Москва,Visametric на Киевской,Полугодовые,Германия в истории,"Последний Шенген - полгода латышский (необкатанный, изза начавшейся пандемии), до этого полгода - латышский в 2019, полгода немецкий в 2018.",Полгода,Полгода
125,19 авг 2022,Москва,ВЦ Visametric на Киевской,Нет,Нет,Шенгенских виз никогда не было. Подавалась после отказа от шведов (отказ получен 08.08),Меньше полугода,30 дней мульти
126,19 авг 2022,Екатеринбург,Визаметрик,Годовые и больше,Германия в истории,"Германия 3 мес. в 2019, Греция 1 мес. и полгода 10 лет назад",Полгода,Полгода (просила на 3 года)
127,19 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,"Было несколько шенгенских виз, выданные ФРГ. Приглашение от меня ( в свободной форме). Последняя шенгенская виза на 5 лет.",Год и больше,"Папе на 3 года, маме на 2 года"
128,23 авг 2022,Москва,ВЦ,Годовые и больше,Германия в истории,"много виз, но показала только из нового паспорта, там две: немецкая на 1 год в 2020 и греческая на пол года в 2021",Год и больше,2 года
129,23 авг 2022,Калининград,ВЦ,Годовые и больше,Германия в истории,"Из последнего - Латвийская виза под срок паспорта (почти 3 года), до этого Латвийский ВНЖ (тоже приложила). Не сунулась бы к немцам, но латыши передумали нам визы давать..",Год и больше,1 год
130,23 авг 2022,Санкт-Петербург,Визаметрик,Полугодовые,Другие страны,"В новом паспорте Эстония под даты поездки (2022) + ОТКАЗ в финской визе в июле 2022, за 3 недели до подачи. В старом паспорте финский шенген 6 мес (2019) и эстонский 6 мес (2020)",Меньше полугода,3 месяца мульти 90 дней
131,23 авг 2022,Калининград,Визаметрик,Годовые и больше,Германия в истории,"Последние три визы: Германия 2 года, Польша 2 года, Франция 3 года",Год и больше,"3 года/ дочери студентке тоже 3 года( последние визы Германия, Польша, Польша все по 2 года)"
132,23 авг 2022,Москва,ВЦ,Годовые и больше,Другие страны,В 2019 была латвийская на год с небольшим (под окончание паспортов),Год и больше,5 лет
133,24 авг 2022,Москва,ВЦ,Меньше полугода,Германия в истории,В 2019 немецкая 3-месячная,Год и больше,1 год
134,24 авг 2022,Москва,"Визаметрик, Киевская",Годовые и больше,Германия в истории,"Германия: 1 месяц, 3 месяца, 3 месяца, 5 лет (закончилась в 2019)",Год и больше,"5 лет в чистый паспорт, также супруге"
135,24 авг 2022,Москва,ВЦ Визаметрик на Киевской,Годовые и больше,Германия в истории,"Латвия 2 года, Греция - 6 мес, Греция - 10 дн. Немецких виз не было",Год и больше,1 год ( семья всем троим)
136,24 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,3 подряд шенгена на 2 года (Нидерланды - Испания - Испания),Год и больше,3 года
137,24 авг 2022,Москва,ВЦ Киевский,Меньше полугода,Другие страны,Испанский шенген на 30 дней почти 3 года назад,Год и больше,"Маме на год, ребёнку на полгода (подавались мама с ребёнком 3 года)"
138,24 авг 2022,Москва,ВЦ Киевский,Годовые и больше,Германия в истории,"Германия 3 года, заканчивается сейчас.",Год и больше,5 лет
139,24 авг 2022,Москва,ВЦ,Годовые и больше,Германия в истории,"08 утром)4. много виз, из последних немецкая на 1 год в 2020 и греческая на пол года в 2021",Год и больше,"2 года (запрашивала тоже на 2 года, тк потом паспорт истечёт)"
140,25 авг 2022,Москва,ВЦ,Даты поездки,Другие страны,08 паспорта были в ВЦ)4. Подавались вдвоем: у меня латвийская на даты поездки в 2018 и финская мульти в 2018; у парня виз не было,Меньше полугода,3 месяца (обоим)
141,25 авг 2022,Москва,ВЦ,Нет,Нет,08 смс о готовности4. Впервые подавала документы и получила шенгенскую визу,Меньше полугода,5 месяцев (почему-то с 01.09.22 по 01.02.23)
142,26 авг 2022,Екатеринбург,Визаметрик,Нет,Нет,08 пришло оповещение (выезд планировался 2,Даты поездки,141 NaN
143,26 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,"в паспорте 7 шенгенских виз, последние немецкая год и Венгрия под даты (ковид)",Год и больше,год
144,26 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,"Новый чистый паспорт, в предыдущем паспорте немецкие визы: 1 год 2 шт., 2 года, 5 лет (все деловые визы)",Год и больше,"5 лет, как и запрашивал"
145,26 авг 2022,Москва,Визаметрик,Полугодовые,Другие страны,До этого была единственная французская виза на 6 месяцев. В июне 2022 получила отказ от французов.,Год и больше,2  года. В анкете просила на 1 год.
146,26 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,"Чехия под поездку, Испания 1 год",Год и больше,"08, выдача 2"
147,28 авг 2022,Москва,ВЦ,Годовые и больше,Другие страны,"Италия 2 года, откатанная, закончилась в ноябре 2021",Год и больше,"5 лет, как и просила"
148,28 авг 2022,Москва,ВЦ Visametric,Годовые и больше,Другие страны,"Шенген во Францию на 2 года с 2018г. Ранее было несколько разных шенгенов, в Германию не было.",Год и больше,5 лет
149,29 авг 2022,Екатеринбург,ВЦ Visametric,Даты поездки,Другие страны,"У меня Австрия на даты поездки, у молодого человека пустой паспорт",Даты поездки,Даты поездки
150,29 авг 2022,Москва,Визаметрик,Даты поездки,Германия в истории,"В паспорте 4 шенгенские визы, среди них 1 Германия на даты поездки в 2018 г., последняя Венгрия под даты в октябре 2021 г.",Год и больше,Год (просила на три)
151,30 авг 2022,Москва,ВЦ Visametric,Полугодовые,Другие страны,"08 подал документы, 29.08 уведомление о готовности (3 рабочих дня)4. Эстонский шенген в 2019 на 6 месяцев с поездкой по Прибалтике и второй поездкой в Италию",Год и больше,1 год
152,31 авг 2022,Москва,ВЦ Visametric,Меньше полугода,Германия в истории,"08 подала документы, 29.08 уведомление о готовности (3 рабочих дня), сегодня забрала 4. Немецкий шенген в 2019 на 3 месяца и 30 дней пребывания.",Год и больше,"1 год, запрашивала также на год"
153,31 авг 2022,Москва,ВЦ Visametric,Годовые и больше,Германия в истории,"Шенген (Германия) - 5 лет, 4 года (по сроку паспорта)",Год и больше,5 лет (как просила)
154,31 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,"3 испанских визы 6 мес, 1 и 2 года",Год и больше,"3 года, запрашивали 2"
155,31 авг 2022,Калининград,ВЦ,Годовые и больше,Германия в истории,4 летняя немецкая туристическая,Год и больше,5 лет
156,31 авг 2022,Москва,ВЦ Visametric,Даты поездки,Другие страны,"Новый паспорт с венгерской визой под даты поездки в 2021, в старом паспорте были другие шенгенские визы.",Год и больше,"1 год (мульт), просили 5"
